Scenario;Asimmetria;Approach;Profile;Diagnostic_Effectiveness;Conversational_Coherence;Extraction_Completeness;Conversational_Efficiency;Knowledge_Origin;Protocol_Adherence;Conversational_Adaptability;Task_Success_Index;Diagnostic_Initiative_Index;Lexical_Adaptation_Index
C;2;E;Confuso;Si;Si;4;11;TACIT;4;5;4;3;3
C;3;E;Confuso;Si;No;3;6;MIXEE;5;5;4;1;3
A;1;E;Riluttante;Si;Si;3;8;TACIT;4;5;4;3;3
A;2;E;Riluttante;Si;Si;3;8;TACIT;5;1;4;2;3
A;3;E;Riluttante;Si;Si;3;8;MIXEE;4;5;4;3;3
B;1;E;Riluttante;Si;Si;3;11;TACIT;5;5;4;3;3
B;2;E;Riluttante;Si;Si;3;8;TACIT;5;4;3;1;3
B;3;E;Riluttante;Si;Si;2;7;TACIT;5;1;3;1;3
C;1;E;Riluttante;Si;Si;3;7;TACIT;5;2;4;1;3
C;2;E;Riluttante;Si;Si;3;8;TACIT;5;4;3;1;3
C;3;E;Riluttante;Si;Si;3;8;TACIT;5;2;3;2;3
A;1;E;Preciso;Si;Si;4;6;TACIT;5;5;4;3;3
A;2;E;Preciso;Si;Si;4;5;TACIT;4;4;3;3;3
A;3;E;Preciso;Si;Si;4;7;TACIT;4;5;4;3;3
B;1;E;Preciso;Si;Si;4;6;TACIT;5;5;4;1;3
B;2;E;Preciso;Si;No;4;6;TACIT;5;5;4;1;3
B;3;E;Preciso;Si;No;4;6;TACIT;5;5;4;1;3
C;1;E;Preciso;Si;No;4;5;TACIT;5;5;4;1;3
C;2;E;Preciso;Si;Si;4;6;TACIT;5;5;4;3;3
C;3;E;Preciso;Si;No;4;6;MIXEE;5;5;3;1;3
